0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221
4584240.0,31488.2,152076.0,3445260.0,2301200.0,4782.91,897.87,5.26208,44.3862,129.227,62.3764,25.5636,14076.3,12.0086,69.1382,1566.97,217.218,31.2013,4465.98,33.9578,37.4584,26.7862,49.3333,22.3442,801.462,413.508,27.0979,24.21,8.0177,24.21,75747.7,14.2959,7.2574,6.93307,10.4665,6.39398,1284070.0,503671.0,61.9792,117630.0,439.822,77883.5,4666.71,19.1817,334.222,2107.69,40.859,27.8667,135.514,5.70981,35.3212,9.98475,82.7965,10.947,303.02,16.475,140.065,45.9923,337.249,39.0895,4416.65,16.0972,37.4909,22.6924,36.3326,12.1357,34207.4,6.71156,31.5324,4456.58,78.7536,13.1975,118341.0,6.01229,9.86416,7.73276,178.497,13.1919,734.206,3.73734,19.6341,6.68187,39.3164,2.86653,769.144,15.4252,97.5737,66.348,93.3399,37.0802,679566.0,266566.0,9141.15,1132.89,109.19,1132.89,964.068,10.1359,403.074,82.9124,469.676,79.0999,104083.0,11.8589,23.2384,41657.2,29.6053,6.61256,116567.0,5.80585,12.4785,1212.23,7.3923,1212.23,297.192,14.4846,53.9093,30.1794,148.93,24.4369,14208.6,3257.56,15.6101,644.777,24.8499,303.733,16060.7,9.73597,50.2939,674.16,72.8556,23.9758,2311.26,19.9659,72.9337,46.8003,127.17,30.7224,2059.88,2.46868,127.62,1257.37,13.8453,15.8707,64342.7,25244.5,26.4239,1151.04,353.398,1151.04,17.9608,16.7942,13.1998,22.4405,28.865,21.047,13115.2,15.9344,69.3657,22.309,57.9161,16.2633,1004.55,20.4675,254.199,41.4751,189.444,35.0713,160.89,4.83009,68.3518,23.9798,46.6783,15.0115,62733.4,35.7597,30.9825,10.8755,281.206,7.23808,17580.1,17.79,87.7299,648.923,71.854,37.2144,13058.3,13058.3,6.08955,89.0563,5.73244,89.0563,687.672,2.146,96.256,270.368,24.48,32.0654,10695.1,4.07314,5.78188,957.175,22.4492,7.1081,152349.0,59740.4,14.9086,14.2932,12.2004,14.2932,20841.2,8206.14,58.5647,59.2975,27.4396,59.2975,865255.5743911344,257310.91769113453,66574.2474587188,31816.715644506592,11913.608666350454,31556.187054506598
1200590.0,10176.8,276211.0,2.19373,-19111.5,2.19373,1.39434,0.92675,7.53054,4.57082,10.2661,4.28372,75.3222,1.89622,10.8383,4.3498,34.5962,4.80333,5.83209,6.2554,7.15326,4.87564,8.40616,3.89609,2.146,2.146,4.91444,2.14436,1.28408,2.14436,160.082,2.85071,1.50979,1.43801,2.11076,1.31446,29304.0,11501.0,14.6106,24.8244,100.723,22.0965,1.74202,1.47457,8.15039,4.48669,6.64058,4.67809,1.59259,0.923168,5.75401,1.58711,11.7412,1.75276,2.82556,2.98445,24.2977,6.96475,56.0717,6.35342,24.831,3.01101,6.91301,3.75414,6.15018,2.15166,4683.6,1.48367,6.76352,2.47256,16.2966,2.73619,484.467,1.22793,1.99541,1.47676,33.6864,2.396,2.20668,0.692795,3.43284,0.515486,6.65396,0.516146,3.11573,2.78018,17.1028,5.7889,16.8265,6.38338,7.41667,7.41667,12.1802,2.0833,13.8554,2.0833,1.81417,1.78208,70.9344,13.0503,79.886,12.4178,6449.26,2.23553,4.46169,334.462,5.263,20.1937,32234.6,1.26348,2.74005,0.718069,1.45125,0.718069,3.06727,2.44487,9.11984,4.748,23.3881,3.80757,3.34764,2.19445,2.50012,2.24378,3.83544,1.08015,47.5464,1.99359,10.1714,4.50032,14.0846,4.6436,3.3472,3.6252,12.6192,4.04168,20.8633,5.56521,7.14754,0.476073,13.8,2.70355,2.3079,2.99588,4308.52,1690.9,3.34339,2.31165,39.3191,2.31165,3.22048,3.00507,2.39122,4.09047,4.5144,3.82253,3.29599,2.84316,3.2649,3.0431,9.31929,2.75882,2.87029,3.55139,42.7561,4.84765,30.942,5.84926,0.947016,0.880035,12.189,2.74576,7.84284,2.55052,41.714,7.03492,5.93366,2.08998,49.515,1.35018,3.21053,3.38204,16.0178,6.36332,12.7543,6.43405,3839.71,3839.71,0.971608,1.38031,0.780603,1.38031,0.430505,0.391511,5.05905,6.04257,3.94023,5.79656,243.41,0.784225,1.14305,1.32326,3.38117,1.36972,25707.1,10079.9,2.27748,2.19988,1.44548,2.19988,9.75896,9.75896,10.3882,9.37568,4.54226,9.37568,93204.8250502178,39001.00219421779,7168.638065605313,4234.8353085039535,1826.0135973401063,4184.821313503954
1365560.0,12891.8,93359.4,4291750.0,-213058.0,5864.84,7.19953,5.55648,47.5735,37.5878,67.5375,27.6736,2107.45,13.2342,76.1452,33.0265,250.986,33.665,25.5139,25.8471,28.9214,21.6183,38.933,17.6271,13.2469,12.5453,27.7474,13.5135,8.92889,13.5135,13369.7,12.7129,6.62857,5.92162,8.33021,5.6525,37740.7,14845.1,76.4673,141.579,556.233,124.09,7.9765,7.82092,42.774,25.2132,38.394,25.0147,5.22613,5.00291,29.5254,9.23716,70.0192,9.95551,17.29,16.9855,143.953,46.7411,355.396,40.6428,16.5517,15.4106,37.0205,21.7292,36.9551,11.0229,2483.97,7.43415,35.6228,14.2439,89.5601,14.9624,5391.92,6.38421,10.9733,8.67566,206.755,303.376,3.81949,3.62368,18.9974,2.98337,38.9301,2.78798,78.8038,17.0949,110.624,40.5643,108.706,41.6014,10543.3,4169.17,780.65,16.6631,110.469,16.6631,45.3311,10.0128,357.69,256.681,470.68,73.8454,43.526,13.2886,26.1564,8.65104,33.7757,22.1403,36.7947,6.36295,13.5602,3.79018,8.48769,3.79018,18.1624,14.0478,53.433,30.7818,145.512,24.1116,24.0458,15.2938,18.0739,17.116,30.7608,8.53268,2588.15,11.3787,58.8235,28.3136,92.6775,26.8378,75.6102,20.8352,75.877,24.7246,131.227,31.6885,2.82068,2.68037,76.93,15.9037,13.7493,16.974,39.6003,25.8911,29.5422,22.8443,408.709,22.8443,20.1298,18.1815,13.4792,23.3171,28.3279,20.7944,18.4796,16.1363,18.6225,18.4896,55.4235,16.5738,14.7868,16.5907,202.057,25.814,160.642,29.2475,5.64523,4.99167,71.2978,17.8154,50.6826,15.789,83.7299,41.1593,37.4541,13.7887,348.204,8.40268,1060.37,18.904,93.9879,41.191,78.6802,40.1347,268.223,268.223,8.72953,15.4611,9.39592,15.4611,4484.78,2.6449,41.2584,42.4595,30.3122,40.7654,30643.4,3.51257,5.06787,5.9825,16.5125,6.18197,649.376,258.055,12.2808,4719.27,9.25164,4719.27,154.3,94.9177,61.5529,59.4341,29.7436,59.4341,41270.19563615095,31876.339056150933,57273.127270412835,40926.145834207426,12307.142357351873,41765.679754207435
56703300.0,198020.0,9.53899,20.9107,-423151.0,20.9107,2748.57,4.04211,29.4667,19.2303,57.019,18.0088,19712.3,9.56553,47.626,21.2511,206.781,22.5522,9362.76,24.2511,28.7455,18.5696,42.1425,15.2923,323.447,124.176,19.508,11.0847,6.88888,11.0847,312037.0,10.7007,5.52044,6.22577,14.1459,5.69986,1160200.0,455076.0,38.0611,66.1446,390.813,60.3391,282.139,6.98427,34.9447,22.3482,38.104,22.8453,1525.03,3.71593,21.7586,7.31782,64.0956,8.08561,232.437,12.5957,89.7126,32.4114,295.862,29.6005,2154.63,12.4841,24.8908,13.8168,32.6707,7.17411,29560.1,5.265,21.0466,8.44151,68.7391,9.47685,47408.2,3.77746,5.58107,4.65726,151.705,105.046,455.293,2.50364,11.1614,1.98918,31.4053,1.9511,388.632,13.2352,71.437,28.3026,92.5037,30.7286,73377.2,28800.5,640.798,12.0589,83.33,12.0589,22484.8,350.543,294.217,65.8265,432.775,61.8941,18960.3,11.6844,14.4876,24.8727,23.1538,4.82293,853738.0,4.73302,8.6284,2.69018,7.6869,2.69018,126.626,12.1203,41.0872,25.3857,140.801,20.5266,184242.0,41966.0,10.1428,10.5571,22.2663,5.0224,12417.6,5.64614,25.8264,12.0369,59.6617,12.627,1067.51,16.0098,50.6036,19.1004,123.322,26.3881,38.9195,1.86541,48.4682,10.7378,11.8656,11.6523,262301.0,102558.0,17.6219,12.7652,356.165,12.7652,165.757,12.1438,9.32238,18.3534,24.7431,16.9,150642.0,11.1396,15.4193,13.5568,49.2755,12.213,272.589,15.6753,161.61,22.3878,164.51,27.107,62.366,3.53737,41.39,11.9824,41.8266,11.3095,4901.22,29.3421,22.273,11.1979,262.687,7.25019,4900.23,13.8244,59.0114,25.6488,65.0985,25.9385,177711.0,177711.0,8.17396,15.4212,9.18387,15.4212,49.5803,1.74753,24.0143,26.5004,22.1624,25.4436,79523.8,2.86177,3.62092,4.3601,24.4002,4.55795,1107090.0,433352.0,9.46151,9.38824,13.0763,9.38824,199300.0,78206.3,66.2563,2502.87,31.6584,2502.87,2044641.574465669,563272.4351377686,26961.9420673067,22639.0885307566,10472.72183790728,22657.095020756595
14090500.0,5560.72,0.945843,641397.0,360520.0,875.259,460.299,0.845654,6.15182,4.20644,15.1366,3.27185,522.558,1.91597,10.0319,4.45409,54.3814,4.74885,2137.33,4.36947,4.4287,2.97856,9.58285,2.54299,1938.55,1177.39,3.46728,9.46695,1.82741,9.46695,44636.0,2.14143,1.04463,76.7755,3.06951,0.882148,185859.0,72903.3,10.9501,21.0294,137.025,19.2179,712.334,1.69305,25.6663,18.9262,10.4483,5.02956,180.307,0.89041,5.23331,5.56536,20.8521,2.91666,6.15795,3.15884,22.2755,7.65508,95.3701,6.99744,264.67,2.55441,5.03802,6.83655,9.72339,1.74544,8216.01,0.984113,4.1779,1.52102,19.095,1.68137,18206.3,0.820084,1.19414,433.039,38.3201,57.4077,401.187,0.606145,2.76994,0.440712,11.0431,0.436888,143.831,2.69707,15.3696,5.63037,23.4142,6.05742,77235.0,30298.1,32.035,7.19042,24.829,7.19042,831.897,2.08967,67.9215,15.9861,127.887,15.1524,18076.5,2.31091,2.75811,877.526,6.58198,0.838815,8783.84,0.968824,1.77782,341.381,2.04459,341.381,103.048,3.35339,11.3162,6.67915,47.4829,5.32188,7606.93,1740.14,2.22797,9.21894,6.58126,4.31392,1781.86,1.62631,7.55985,68.0001,19.9681,3.71027,576.863,3.32257,11.9215,10.1405,33.2782,4.2378,235.84,0.436798,11.2366,9.37846,3.85732,2.32405,5095.56,1997.08,3.51074,138.285,99.5839,138.285,511.497,1.60003,1.24058,2.1509,4.9117,2.00719,27678.6,1.09174,19.09,1.17261,4.33328,1.12983,2263.86,3.80034,40.5667,5.17055,43.9373,6.03676,33.9725,0.877864,10.7616,2.77706,12.9293,2.57611,12998.0,5.19075,3.92681,40.2302,77.0094,10.72,2108.83,2.67889,12.0229,5.38821,20.2388,5.51595,499.009,499.009,1.02451,1.28935,1.18433,1.28935,830.087,0.439331,20.6984,5.99058,6.99273,5.48897,6111.05,0.618789,0.78235,0.882405,6.66578,0.913862,52790.9,20659.9,9.99191,511.974,3.35814,511.974,3949.47,1557.84,16.8651,154.995,8.70938,154.995,227586.01543845402,76195.99371845402,4650.354635289274,4756.843872818891,2842.6462200215788,4784.14501681889
1099900.0,37475.0,10849.2,1148990.0,-223514.0,2328.33,100.43,3.54003,35.4313,56.7942,38.4723,16.9573,668.077,6.71485,37.8779,16.1976,119.631,17.4919,1878.74,20.2259,23.3324,16.8072,24.1771,13.9238,8.2485,8.2161,19.4396,8.35738,4.49247,8.35738,3389.03,10.6111,5.942,14.2595,7.69839,4.97997,52879.0,20758.8,37.8061,2240.9,238.971,1515.48,18.6018,5.08715,28.0094,16.054,21.8904,16.6965,182.657,3.97393,24.9284,202.847,49.6672,8.11346,11.0166,10.2406,83.578,25.5028,195.638,23.4952,138.467,12.0544,26.6142,16.3464,23.3982,8.70291,867.426,5.15802,23.8356,9.31144,53.9504,10.36,3358.6,4.60005,7.69961,224.054,118.595,52.4308,169.6,2.24908,11.4038,2.90481,21.2628,1.71979,87.7491,8.86756,53.5278,154.615,49.915,20.9174,60745.2,23837.2,34456.9,26.0419,41.0079,26.0419,3263.36,5.31367,197.872,41.9519,238.097,40.4474,1081.86,7.72639,16.7208,83.0871,20.1626,4.97742,6668.66,4.03384,8.39067,131.547,4.21872,131.547,11.1335,8.07229,30.0041,16.5849,80.7199,13.3918,453.193,109.001,10.2491,10.5056,13.1864,5.12715,1448.42,6.83524,34.0039,229.09,48.0071,16.0669,30.5741,13.8442,47.5167,16.821,76.3856,22.4657,49.6268,1.59222,44.34,11.6505,7.52503,10.6632,13995.9,5494.61,17.5729,11.917,193.031,11.917,1731.11,12.3675,9.69773,16.7108,15.6569,15.682,5590.1,9.66573,11.3432,541.557,28.486,9.6767,167.661,12.6556,150.165,17.7167,111.198,21.6424,7.71182,3.10291,43.3419,10.3324,27.3648,9.50112,1111.61,27.749,24.4371,7.94633,193.308,5.1574,565.433,12.7089,149.161,23.9543,44.6955,24.004,529.002,529.002,2.89341,4.81017,2.62323,4.81017,49.6005,1.4419,18.2274,24.6899,13.343,23.6697,9504.49,4.36991,6.50823,1621.47,24.4362,8.15769,4840.55,1901.11,12.2019,10.7122,7.91628,10.7122,1366.44,553.786,32.5443,76.2153,14.6672,76.2153,323558.43028564105,44690.657906641216,29200.4267884013,30416.952025617262,6648.831883195201,30252.326975617267
12454100.0,70341.7,4269260.0,412313.0,1132580.0,579.025,911.761,7.21488,3093.09,894.603,88.4681,35.0319,1253.84,20.4532,5180.25,39.3017,327.22,43.37,24194.0,44.8197,51.3077,37.548,68.2804,30.1004,46.9026,41.12,35.9699,16.4555,9.76722,16.4555,119983.0,20.6504,11.0419,2065.49,16.3425,9.80519,92787.9,36435.4,85.0362,148.102,615.76,135.195,638.666,12.2894,3365.33,39.7332,59.1203,41.5189,3872.11,8.10562,52.3641,214.261,117.149,15.9934,546.427,22.0163,1459.56,56.0681,464.865,51.4133,778.21,22.4989,1029.68,30.2167,49.9934,15.2291,27356.1,9.7107,10240.1,17.6148,121.528,19.5297,29188.6,8.82706,37443.2,157.03,279.65,1184.71,1039.67,4.80872,24.3468,3.67823,51.4228,3.65793,1042.86,21.6665,5064.69,48.2913,143.363,53.2727,645829.0,253352.0,160956.0,2216.02,143.705,2216.02,1255.67,13.3034,536.322,108.963,680.351,104.19,12040.1,16.5508,9860.5,164.275,44.2664,9.46688,179930.0,7.30054,15.6824,343.461,8.76612,343.461,428.989,17.1499,403.155,118.036,186.607,29.2619,3375.77,785.891,22.7581,25.1351,35.9497,12.0085,11653.7,14.1351,20465.9,744.77,112.535,33.9252,494.421,29.1349,104.866,33.5919,183.737,46.5302,129.096,5.08955,1672.36,22.8037,17.2348,22.5564,53906.4,21155.4,38.7076,26.9522,499.823,26.9522,247.757,22.6387,18.0673,31.8848,36.2406,30.0156,8747.16,22.4245,30.3778,26.1278,81.3807,23.6073,496.923,27.1324,337.222,39.1242,257.234,47.618,72.6368,6.27408,641.521,21.0059,61.2228,19.362,6905.73,53.9662,6027.07,17.1223,457.752,10.2858,9985.37,25.0502,49484.4,50.7968,106.447,51.8774,16286.0,16286.0,5.83849,10.095,5.98242,10.095,885.202,2.92179,1439.77,49.1526,32.348,47.1481,47414.4,6.60158,9.61788,1083.8,41.3253,11.9401,1063150.0,416701.0,49.9076,24889.4,14.2264,24889.4,26501.9,10437.9,77.6437,1783.13,36.8069,1783.13,1095822.222060167,290503.9740449466,145476.91593694646,60097.12153192499,15257.501163474433,63979.69987192499
148411.0,2071.07,6.65743,2224820.0,-161314.0,3036.08,33.2218,3.41947,30.0359,539.924,43.9744,32.356,476.222,7.69466,46.2309,1340.58,153.696,20.5328,231.396,24.5007,28.0871,325.639,39.4466,217.062,7.80406,7.76065,18.2371,7.79753,5.01956,7.79753,6644.92,10.2724,5.30694,812.007,8.16481,4.58214,29809.4,11718.7,49.4898,27111.2,381.89,17945.3,10.0801,6.22103,36.5162,60.187,30.8014,21.0336,58.7847,3.53733,23.6858,541.637,53.4606,7.01603,11.1252,11.2313,98.152,35.0876,244.958,26.4779,26.602,10.6805,25.3189,34.6967,25.1626,7.46181,450.188,4.88713,24.1791,373.233,64.4767,9.69951,1058.86,4.40499,7.65396,3947.86,149.741,46.8632,124.949,2.31762,12.4554,35.5612,26.0004,1.7731,54.7467,9.51625,62.7128,169.316,62.369,23.3461,5822.14,2307.12,230.961,6616.89,81.0261,6616.89,75.0045,6.8893,287.221,563.837,368.839,54.2229,326.177,8.05834,16.7037,122.343,21.0682,8957.54,44208.9,4.23872,9.2858,2252.49,5.23304,2252.49,12.9433,9.05385,35.2572,21.806,100.433,15.0785,1057.39,248.098,11.3287,936.161,18.1536,443.606,145.145,6.95455,37.0457,426.056,58.878,17.0977,62.386,13.7954,51.9163,28.3212,93.0128,21.8965,8.38671,1.69889,52.4958,60.0118,8.51978,11.2141,13904.1,5459.03,18.0515,697.788,242.23,697.788,38.5578,9.74983,7.79767,253.707,16.1882,12.6058,13.4883,11.0247,13.0886,12.6013,40.9213,11.3007,11.8586,13.5923,175.53,21.9272,134.46,23.9784,4.99533,3.23617,48.609,36.7291,32.9451,10.2075,92.6986,25.2858,22.6129,267.788,221.913,70.8107,466.508,12.7581,65.2678,3599.39,56.8544,26.8711,258.793,258.793,3.73276,577.907,3.81226,577.907,17.9481,1.48766,20.43,907.707,17.3411,24.3372,2594.57,3.34646,4.88271,4654.67,23.0841,6.01364,9457.71,3711.2,313.894,7563.57,8.25806,7563.57,1245.08,510.318,40.4295,9461.8,18.8689,9461.8,125092.74764187454,51139.36923357452,27154.338659775767,162217.34035996613,7733.157270070589,162043.87190996617
1093950.0,35207.3,13.4156,13056700.0,-60458.5,17764.5,2474.42,7.03441,1402.45,52896.6,80.0835,54.0128,8271.33,61.8969,1763.55,167286.0,277.636,39.246,6323.46,43.818,49.9694,63457.5,57.6638,42184.8,279.387,199.357,97.4402,388.719,8.92767,388.719,60562.1,22.0809,10.9204,126716.0,14.2956,9.70483,200964.0,78866.1,90.2148,2976160.0,575.291,1979390.0,663.006,11.3048,456.035,9476.29,50.5508,44.8801,1594.91,7.62106,48.2774,15286.9,105.901,20.2905,110.871,21.9744,200.129,856.839,415.016,50.9829,4003.12,22.8061,51.0355,17732.9,45.8307,16.1664,24317.3,9.44316,23113.7,89141.9,104.834,18.7939,33648.4,9.0992,9205.06,156002.0,278.878,1328.36,1427.77,4.76749,23.6491,3818.22,47.4424,3.65065,693.28,21.2326,959.424,8870.72,129.818,51.2838,165681.0,65018.5,379735.0,192678.0,123.895,192678.0,3381.07,12.9803,521.844,154373.0,625.285,100.242,22283.1,14.2404,28.4817,34057.3,34.0859,82.9259,43026.8,6.32256,13.4511,83368.4,7.18257,83368.4,165.879,18.5148,171.413,689.194,178.902,30.958,3748.35,871.151,19.0755,33366.3,30.0974,15667.3,12814.2,13.4692,7044.1,81554.5,98.3273,31.8216,11744.4,42.8096,145.378,29054.5,157.845,43.8476,1475.94,3.05703,89.1731,23045.4,15.4491,122.728,46020.2,18059.5,32.7126,264231.0,361.763,264231.0,942.757,23.1414,18.4071,6311.09,34.4205,29.7658,10052.1,23.5949,58.0019,20605.1,74.5261,23.9051,368.606,24.6994,306.025,4273.95,217.777,43.2321,299.06,5.97133,2700.54,3683.64,52.6387,18.8068,30792.9,55.4426,721.691,29860.5,431.033,7688.56,11444.7,25.623,3007.03,184527.0,98.4206,51.7071,7889.34,7889.34,5.56094,39987.9,4.90731,39987.9,1573.24,2.76497,2636.14,84347.8,28.1579,44.1282,80503.2,7.15214,10.4114,559537.0,40.5241,50.655,681550.0,267262.0,157134.0,1276990.0,12.5945,1276990.0,7976.23,3167.1,69.7384,18640.3,31.1161,18640.3,1102903.6850980243,365926.2770017238,124382.19228836347,2789566.1713919877,13408.28627510153,2525870.990821988
9890060.0,54947.1,3.92634,15748000.0,239518.0,21430.4,340.119,1.73957,15.1321,3176.55,19.7245,8.43382,2272.74,4.50356,27.1382,4278.09,88.9618,12.2644,106016.0,12.7662,14.0352,29494.2,18.2842,19050.9,182.26,161.129,17.6776,135.641,2.30453,135.641,40406.6,5.09192,2.72227,15882.7,3.47756,2.20625,24937.1,9790.32,21.1843,67748.7,140.618,45034.3,73.4839,3.08348,35.6674,533.554,14.3348,10.2638,841.128,1.93947,11.9577,5364.06,27.287,3.73494,13.5512,6.29488,55.7996,75.8507,123.664,14.2379,1852.05,5.52502,12.7043,934.526,11.9564,3.90816,4251.36,2.6274,140.899,4081.88,32.2106,5.08181,11417.5,2.36543,3.86375,35520.3,72.5444,205.789,3230.3,1.23739,6.46255,5866.79,12.8114,0.895367,134.609,5.88517,38.4443,287.714,36.9497,14.1053,5042.41,1989.43,2940.19,25005.4,41.7307,25005.4,341.358,3.35279,137.763,11004.5,158.361,25.0824,18249.9,3.69631,7.28965,8267.26,9.31197,2.01817,23955.9,1.86004,3.97924,7739.05,2.23677,7739.05,27.2228,5.42142,20.2994,95.4959,53.5309,8.74941,2769.17,646.995,5.08092,527.364,8.32345,255.993,1413.16,3.33134,24.7432,7430.46,25.3447,8.01712,711.09,7.69036,28.7202,1632.59,48.5235,11.766,383.23,0.635005,18.8057,3043.93,3.86804,4.20184,9053.45,3553.32,8.54206,16353.3,103.24,16353.3,7.25492,5.49546,4.26909,331.409,9.06644,6.46823,8.21679,7.15939,8.45998,7.8008,26.5728,7.06285,33.6077,7.24343,92.8162,87.5896,65.2652,12.4741,27.2369,1.70052,24.6998,66.0217,15.6291,5.22319,24785.7,14.9552,13.0129,42792.0,116.967,11420.4,2808.04,6.04877,30.4419,20073.5,24.7738,12.4277,1280.53,1280.53,1.61466,6689.53,1.56259,6689.53,597.054,0.725761,36.0233,33802.9,8.20162,10.9143,17364.9,1.77658,2.56615,27242.2,11.1971,3.03154,232665.0,91215.3,16892.4,834718.0,4.51534,834718.0,2523.44,999.644,18.1387,2797.18,8.01584,2797.18,956422.1395567588,409437.3969056989,46577.34200266439,1570879.1430626274,3992.215433469363,1462431.2825926275
