,Agriculture,Fishing,Mining and Quarrying,Food & Beverages,Textiles and Wearing Apparel,Wood and Paper,"Petroleum, Chemical and Non-Metallic Mineral Products",Metal Products,Electrical and Machinery,Transport Equipment,Other Manufacturing,Recycling,"Electricity, Gas and Water",Construction,Maintenance and Repair,Wholesale Trade,Retail Trade,Hotels and Restraurants,Transport,Post and Telecommunications,Finacial Intermediation and Business Activities,Public Administration,"Education, Health and Other Services",Private Households,Others
HUN,16013045.88744002,39884.895111954276,1389731.2322551887,21588067.278759614,7460806.659384799,8086857.771568033,23695818.090434536,10705434.681579288,38062175.071545824,13990555.643914271,2298793.5094919805,246042.21299900496,10192688.282168388,13857627.267097432,4286472.744404313,11905400.338389618,10588898.13899649,6798394.142696893,18559301.247472703,7608708.334456669,45401844.11393454,12263144.376334881,24779930.55873156,2631.045821749943,1962658.0781621141
IND,528677378.7497556,19520709.24698683,96092470.99779998,276763309.6595952,75392349.80358678,42855618.78040385,390039695.94444853,249493353.41299498,226576129.69354552,61694190.132169485,44318943.71881232,30456487.99909167,140038063.37052542,381963370.9712479,9093700.47665649,117207739.98230053,260686172.1298876,96219624.52395627,446707957.0303868,51483554.21085018,453860720.13714147,119349667.9762938,126025913.80972849,293127.45802066795,84127553.54069905
IRL,20234751.719696917,1040458.1047696194,2435358.4005230307,44857344.387734815,3663090.851318947,27049544.54147948,83445498.59014806,8003262.70525538,94036882.47093487,3795850.829923761,2713896.611526104,311964.4728647895,7616738.683817437,52947166.60745704,4579261.70064746,24059616.40814856,12370898.673698619,21550131.359646715,38148225.215518475,18183984.77968561,114580535.15170848,20415671.297030166,45194655.185994,204100.48362435756,1681801.0109903542
ITA,65467648.58034898,2503849.204783279,11948851.88893412,175343590.91813338,163571535.27710947,92877595.19555788,236471062.48035508,155037782.86851946,254661167.28562889,87101310.38421685,51931091.820836335,5660216.19933002,84076441.70482564,188608667.6414062,70940082.89920746,184257152.50995728,165162827.3408136,134813552.7211604,262898365.2829169,64265373.19999547,703927847.3250403,141338502.78620127,343673045.6420626,9393193.100030458,17384938.75779225
JPN,96182088.11461172,9879336.147105524,41312917.25908263,237774429.0732175,43443780.05847274,185951189.4498255,636413454.7781363,466862273.75830185,811670498.2992609,377026490.9991214,83726292.89311343,10360190.797358258,260121476.13102332,551471420.0863363,18223838.249017037,614044295.7728993,281472813.8831798,199447936.7113281,543707376.418663,292648464.34104824,1824235031.3986716,306896873.81784064,1241618593.5403273,1566800.785715476,65601210.44714576
LTU,5082224.78770597,55955.50511773767,639489.5362913565,7902776.218799746,5616575.049688075,3630725.084469885,6194658.303042365,1178474.9121013149,3454371.5636145184,1312001.8830013769,1301347.1175741786,309992.9186449499,3483041.6458821017,5836045.9325598255,1718692.9544371744,5426984.441793376,5802199.014315638,1326177.7166980808,9175355.193317179,2625302.2383885127,8761678.077603485,3812950.293111458,8044374.212836375,52597.5049459178,875213.3225203808
MEX,54961308.48810315,1726476.2054524268,60126893.73631154,123162323.78635341,46430723.796566375,23625001.543280803,130636603.50004292,49685020.37540011,138393653.91548052,105861012.81642988,17905170.159320854,3196703.5917508407,37049553.32122966,139842900.75006264,4878988.675256132,62884725.27396182,139864253.80079162,46852648.15796083,175205896.6588881,45545324.08933354,304723233.7720804,60643997.81288835,143419579.16001308,13450.18298399632,3860197.809335542
NLD,46541078.511090174,924873.9444529759,22388138.16322338,100419950.24575686,13174041.647911867,43835882.03909568,138420355.66094851,43786059.39905739,94913701.29081467,37886382.88165374,12576837.106017267,1702358.593552436,40234983.55685545,125549719.74456525,24114095.428617176,82981386.50863034,39192586.11906525,38232074.84584496,89437039.58167306,39945289.83538775,359208445.8758802,86345158.94807538,184799712.80889833,2414114.20525411,18528174.030307014
POL,52702224.512170486,415877.46587859327,18038984.805675846,80687315.24699664,22936047.524856336,36839739.441742405,76414977.81441556,47444028.89250455,49317134.62167095,40070931.066638485,13560929.628987405,933552.060965236,39963803.58454037,91204279.84798059,27660721.04153143,60569519.134479605,50905009.16769774,16090319.959106311,75020001.43396065,26565724.527476158,169607140.88154882,37240225.53986411,91845532.6789452,2402354.043534469,4558985.290404927
PRT,10798404.329649452,924143.9830984205,2003734.6048890108,21846073.371722847,23400410.885346197,14671665.085212208,23642774.19004389,9094257.011071185,17612863.753584526,10764817.054867996,4302970.058867907,301678.390815336,12008987.971107643,33149708.82115545,9139045.963958777,16057776.445434589,16371126.875773989,17974559.292427894,23323285.119001567,10311582.550805535,69500410.4414722,13827135.415823698,38793554.4109059,1436227.3118036403,1225089.861696246
KOR,41651317.24794701,6616389.071894411,8311074.680439784,135418836.9791304,153131586.49722618,119815142.47965342,633088863.733515,346211736.65374875,470774981.64194804,154953591.13442996,94462712.4979383,0.0,104335848.65236548,163446569.35153556,1624003.7385819121,20931607.79131585,46554808.92816529,213993674.20979553,179610667.66593838,52734305.73258598,344600316.68218637,73807319.69253707,288058731.5495672,3622399.174087556,7007972.076493221
ROU,36960103.32590317,34114.77688115729,7925492.880182188,39506113.547334544,13162433.426722258,8145599.570272836,25842391.67967594,16477626.006630085,12538264.593465505,8439957.816029668,4237252.414572116,61982.34745107527,23681797.52106894,25156509.69176456,1177435.4048675196,15718187.605240624,10839615.347883906,8010816.525504718,25147985.436101824,10940784.749333784,45115927.117755234,12995162.61808842,30099954.750003956,3125.584997279889,1638.8792325451311
RUS,182906718.90396234,27447991.649831124,85592253.63229619,202802814.48379713,25523277.54779248,59025263.196564205,430160300.3057884,237362321.3220891,224085531.95241958,1179222.068228723,42928190.23494026,19692978.366201125,95072089.31954265,241669086.02753696,11267139.230754768,145220889.16402712,322991718.81316113,747039.8894419671,276355441.1801553,552329.2317853253,310666543.682804,49415874.31799377,250382640.13531658,89.1863280644198,25596.48196090281
SVK,10172314.088021291,7415.751921806709,1125304.009519465,12354626.126451703,6009076.07319541,8258669.09191175,21681442.407633144,17781767.388925854,14768130.607330691,14983283.80099142,1955515.4639012716,217459.2621766511,21457341.400688495,17320219.25852617,2067390.5269135558,9873199.46772349,7608131.059132505,4439494.357578322,19483080.68045456,4927488.172184822,32756177.438990153,8657489.949316481,16481496.601430813,3689.547380023362,635613.4234428279
SVN,2561294.863083588,14376.48762211313,697601.5171500007,5185130.746891614,3877431.3081809618,4380055.742141923,7180688.862399846,6500724.014569813,8568926.657500993,4133151.3485537153,1520241.3212388796,197890.01463438343,2331125.701228384,8441141.950889364,1999363.1894707393,4175490.19255152,5508130.741384443,2915876.3881412866,6064375.3422457315,2265130.9334500334,13788694.631457545,3749667.5692438595,8987924.047795832,16178.963160755146,354024.96691507346
ESP,57516646.678867966,4139358.0985512407,14148490.395812584,131932554.22973639,50476237.95158602,61045204.42062865,209351935.81195652,112587623.78876793,117456954.89068112,122778438.1511969,24600156.768771246,6676085.982632416,61506763.19363027,279870632.186142,24660920.906400308,86712441.43278539,74480909.59140803,136471553.69258174,132148432.29070723,59361118.44220966,421859634.6071211,88663040.9427592,226927383.9234965,33851.99697067611,9681688.333813207
SWE,12378659.239284867,313265.0965917247,3384054.7648913283,27434716.207132712,3275088.3041261425,43933867.628651924,35869404.83347078,39841522.007342875,65484890.79901499,39948701.33073506,5158917.264638657,886482.39480127,17970756.607813492,38962187.83597924,71718528.20248531,38157.782967277206,3019.938100189908,18698653.68412797,76844020.1030105,22789410.27717386,210295383.63745958,37399356.12385651,125234188.79090978,90975.82212997098,2768761.4290354815
TWN,6698544.808022737,1804156.5583993723,2499611.1704530823,10411273.689744217,13623432.94415362,7510289.74554711,73060823.4621656,38857716.62835665,91057949.45786352,13359397.694260582,1569767.0238799485,12452599.759850979,12851254.098297674,14995122.68343433,1132643.6547835802,18230662.61990932,30161040.546996966,5833024.005722032,20215131.348049752,9821099.267669939,83622692.45728344,18752223.167616945,29189056.482137933,1164204.3587689537,6021265.648788814
TUR,57064458.85318612,1033987.1997994384,10382420.865003927,99874769.74618407,86856853.8070801,15108490.581361348,64535208.89419752,32565629.8911105,50860179.42633006,24919660.26987105,13746433.060218923,193904.82557860092,27509577.278437085,95876200.36912769,21470367.156268865,42706245.12272767,42772278.21875501,33852924.19080553,118307859.73042175,15388009.515290935,141265258.7821664,58630904.20264928,93598543.30411784,793318.421760916,1740768.846426677
GBR,46679198.27468796,2754418.1552324435,70520541.9425969,157303256.83398256,41197121.23279156,86069335.28420712,239768594.707928,116809319.30082773,249397669.8436184,115365980.54561535,40087669.442202084,3513127.3129110388,135387613.2000109,373879846.8608782,59107083.02251247,253031406.3564936,172447599.7026086,176542805.80426845,373695888.3870704,127197650.04095721,1214077948.7014143,220511798.97973493,635549796.2893642,9973355.130995309,16241452.726119332
USA,443612681.50356704,3113033.3901929567,286086755.1404023,790845316.1349322,449019546.89789426,364013233.22382605,1549743618.0456996,509743251.4171195,1608316216.3329768,652614744.7590672,196712680.1182437,76413486.85340235,546651653.5182624,1671316495.3781188,45393539.737420194,1240156314.180008,884996782.5716895,1062580225.7339699,1678968805.2011888,1224683389.6494002,8935186959.997395,2736341642.7710958,5045923295.124076,59430728.17427974,50279194.73007648
VNM,40436092.4332643,11127306.314518481,26791837.996728163,44506913.78661241,32138677.438257977,7649697.477605615,22639956.687349007,12077730.004061293,15073171.345065802,10483940.416523702,7517715.89996848,485982.04708420497,8004948.305988349,25142569.003914084,478762.5212619179,25553956.22490562,1407091.6212017962,12731898.107089723,13647901.26390332,3551012.635753908,17366572.985835373,11696734.62191982,17390642.545487408,12618.370027436371,3621471.6585119856
ROW,123738470.3907323,1193194996.6660967,1543282181.8571405,648399035.7057378,480885120.066251,1713151934.1974049,654675157.6856158,1716873093.0976858,497579799.47020805,299839547.45322967,88125086.34805864,742123607.1445364,1657672865.2148163,66141064.83550912,948087950.8890622,1231677964.8845491,818348312.4386258,1561731717.7599142,644129718.6359727,3462992053.1024985,999940585.7471951,1677051604.347217,28474805.512492105,234669016.6744036,12941971.537368694
